City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,Port Elizabeth,-33.918,25.5701,64.4,77,0,13.8,ZA,2021-03-28 19:24:07
67,Cururupu,-1.8283,-44.8683,79.48,91,34,4.9,BR,2021-03-28 19:19:58
68,Jacareacanga,-6.2222,-57.7528,90.46,50,99,4.68,BR,2021-03-28 19:24:35
69,Hilo,19.7297,-155.09,68.0,88,90,6.91,US,2021-03-28 19:23:16
70,Saskylakh,71.9167,114.0833,-4.74,99,98,2.01,RU,2021-03-28 19:24:04
71,Nanortalik,60.1432,-45.2371,25.95,65,4,7.0,GL,2021-03-28 19:23:53
72,Banepa,27.6298,85.5214,55.4,71,20,3.44,NP,2021-03-28 19:24:36
73,San Quintin,30.4833,-115.95,71.56,27,0,9.6,MX,2021-03-28 19:24:36
74,Miri,4.4148,114.0089,78.01,100,40,2.3,MY,2021-03-28 19:21:43
75,Mar Del Plata,-38.0023,-57.5575,68.0,83,40,14.97,AR,2021-03-28 19:24:37
76,Tadine,-21.55,167.8833,76.17,86,10,9.06,NC,2021-03-28 19:24:37
77,San Luis,-33.295,-66.3356,72.7,23,0,4.85,AR,2021-03-28 19:21:31
78,Port Lincoln,-34.7333,135.8667,60.49,81,2,7.05,AU,2021-03-28 19:24:37
79,Salaga,8.5508,-0.5188,94.89,24,59,1.88,GH,2021-03-28 19:24:38
80,Gayny,60.3071,54.3241,27.75,94,100,7.38,RU,2021-03-28 19:24:38
81,Cape Town,-33.9258,18.4232,69.01,72,0,6.91,ZA,2021-03-28 19:23:27
82,Corinto,37.9407,22.9573,54.0,57,5,2.35,GR,2021-03-28 19:24:38
83,Cherskiy,68.75,161.3,-9.71,92,100,0.31,RU,2021-03-28 19:24:39
84,Malakal,9.5334,31.6605,87.64,18,2,7.38,SS,2021-03-28 19:24:39
85,Kapaa,22.0752,-159.319,73.99,68,20,19.57,US,2021-03-28 19:24:39
86,Ahuimanu,21.4447,-157.8378,77.0,53,75,13.8,US,2021-03-28 19:24:39
87,Los Llanos De Aridane,28.6585,-17.9182,66.2,72,20,10.36,ES,2021-03-28 19:24:40
88,Georgetown,5.4112,100.3354,80.01,94,20,1.14,MY,2021-03-28 19:24:06
89,Cabo San Lucas,22.8909,-109.9124,81.0,35,75,8.05,MX,2021-03-28 19:24:28
90,Cabedelo,-6.9811,-34.8339,84.2,70,75,9.22,BR,2021-03-28 19:24:37
91,Totness,5.8833,-56.3167,79.07,86,100,13.35,SR,2021-03-28 19:24:40
92,New Norfolk,-42.7826,147.0587,52.0,60,38,1.99,AU,2021-03-28 19:24:41
93,Hermanus,-34.4187,19.2345,66.0,74,100,4.0,ZA,2021-03-28 19:24:39
94,Narwana,29.6167,76.1167,78.89,21,0,6.89,IN,2021-03-28 19:24:41
95,Diego De Almagro,-26.3667,-70.05,80.94,16,0,12.5,CL,2021-03-28 19:24:41
96,Khatanga,71.9667,102.5,-2.34,98,100,6.85,RU,2021-03-28 19:24:42
97,Alofi,-19.0595,-169.9187,80.6,89,4,12.66,NU,2021-03-28 19:24:21
98,Bahia De Caraquez,-0.6,-80.4167,80.6,78,75,3.44,EC,2021-03-28 19:24:42
99,Buin,-33.7333,-70.75,80.6,24,0,9.22,CL,2021-03-28 19:24:15
100,Aklavik,68.2191,-135.0107,-5.8,54,20,5.75,CA,2021-03-28 19:23:10
101,Alexandria,31.2156,29.9553,59.0,55,40,11.5,EG,2021-03-28 19:21:50
102,Acapulco,16.8634,-99.8901,84.2,61,1,11.5,MX,2021-03-28 19:20:19
103,Trincomalee,8.5711,81.2335,79.48,81,85,11.34,LK,2021-03-28 19:24:43
104,Grindavik,63.8424,-22.4338,32.0,86,75,1.14,IS,2021-03-28 19:24:43
105,Hofn,64.2539,-15.2082,34.84,55,98,21.09,IS,2021-03-28 19:21:58
